dataset_id,source,episode_id,pair_id,label,split,evaluation_role
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0035/ep-0035.tar,normal/ep-0035,normal/ep-0035,Normal,train,train_normal
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0036/ep-0036.tar,normal/ep-0036,normal/ep-0036,Normal,train,train_normal
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0037/ep-0037.tar,normal/ep-0037,normal/ep-0037,Normal,train,train_normal
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0038/ep-0038.tar,normal/ep-0038,normal/ep-0038,Normal,train,train_normal
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0039/ep-0039.tar,normal/ep-0039,normal/ep-0039,Normal,train,train_normal
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0041/ep-0041.tar,normal/ep-0041,normal/ep-0041,Normal,train,train_normal
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0044/ep-0044.tar,normal/ep-0044,normal/ep-0044,Normal,train,train_normal
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0045/ep-0045.tar,normal/ep-0045,normal/ep-0045,Normal,validation,evaluation_normal_negative
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0047/ep-0047.tar,normal/ep-0047,normal/ep-0047,Normal,validation,evaluation_normal_negative
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0048/ep-0048.tar,normal/ep-0048,normal/ep-0048,Normal,validation,evaluation_normal_negative
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0049/ep-0049.tar,normal/ep-0049,normal/ep-0049,Normal,validation,evaluation_normal_negative
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0050/ep-0050.tar,normal/ep-0050,normal/ep-0050,Normal,validation,evaluation_normal_negative
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0052/ep-0052.tar,normal/ep-0052,normal/ep-0052,Normal,validation,evaluation_normal_negative
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0053/ep-0053.tar,normal/ep-0053,normal/ep-0053,Normal,validation,evaluation_normal_negative
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0054/ep-0054.tar,normal/ep-0054,normal/ep-0054,Normal,validation,evaluation_normal_negative
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0055/ep-0055.tar,normal/ep-0055,normal/ep-0055,Normal,validation,evaluation_normal_negative
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0056/ep-0056.tar,normal/ep-0056,normal/ep-0056,Normal,validation,evaluation_normal_negative
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0057/ep-0057.tar,normal/ep-0057,normal/ep-0057,Normal,validation,evaluation_normal_negative
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0059/ep-0059.tar,normal/ep-0059,normal/ep-0059,Normal,validation,evaluation_normal_negative
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0002/ep-0002.tar,normal/ep-0002,normal/ep-0002,Normal,validation,calibration_normal
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0018/ep-0018.tar,normal/ep-0018,normal/ep-0018,Normal,validation,calibration_normal
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0020/ep-0020.tar,normal/ep-0020,normal/ep-0020,Normal,validation,calibration_normal
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0025/ep-0025.tar,normal/ep-0025,normal/ep-0025,Normal,validation,calibration_normal
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0030/ep-0030.tar,normal/ep-0030,normal/ep-0030,Normal,validation,calibration_normal
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0032/ep-0032.tar,normal/ep-0032,normal/ep-0032,Normal,validation,calibration_normal
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0040/ep-0040.tar,normal/ep-0040,normal/ep-0040,Normal,validation,calibration_normal
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0042/ep-0042.tar,normal/ep-0042,normal/ep-0042,Normal,validation,calibration_normal
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0043/ep-0043.tar,normal/ep-0043,normal/ep-0043,Normal,validation,calibration_normal
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0046/ep-0046.tar,normal/ep-0046,normal/ep-0046,Normal,validation,calibration_normal
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0051/ep-0051.tar,normal/ep-0051,normal/ep-0051,Normal,validation,calibration_normal
benedictwilkinsai/world-of-bugs-normal,NORMAL-TRAIN/ep-0058/ep-0058.tar,normal/ep-0058,normal/ep-0058,Normal,validation,calibration_normal
benedictwilkinsai/world-of-bugs-test,TEST/BlackScreen/ep-0001/ep-0001.tar,BlackScreen/ep-0001,BlackScreen/ep-0001,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/BlackScreen/ep-0004/ep-0004.tar,BlackScreen/ep-0004,BlackScreen/ep-0004,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/BlackScreen/ep-0005/ep-0005.tar,BlackScreen/ep-0005,BlackScreen/ep-0005,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/BlackScreen/ep-0007/ep-0007.tar,BlackScreen/ep-0007,BlackScreen/ep-0007,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/BlackScreen/ep-0009/ep-0009.tar,BlackScreen/ep-0009,BlackScreen/ep-0009,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/BoundaryHole/ep-0000/ep-0000.tar,BoundaryHole/ep-0000,BoundaryHole/ep-0000,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/BoundaryHole/ep-0001/ep-0001.tar,BoundaryHole/ep-0001,BoundaryHole/ep-0001,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/BoundaryHole/ep-0003/ep-0003.tar,BoundaryHole/ep-0003,BoundaryHole/ep-0003,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/BoundaryHole/ep-0004/ep-0004.tar,BoundaryHole/ep-0004,BoundaryHole/ep-0004,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/BoundaryHole/ep-0008/ep-0008.tar,BoundaryHole/ep-0008,BoundaryHole/ep-0008,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/BoundaryHole/ep-0009/ep-0009.tar,BoundaryHole/ep-0009,BoundaryHole/ep-0009,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/BoundaryHole/ep-0011/ep-0011.tar,BoundaryHole/ep-0011,BoundaryHole/ep-0011,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/BoundaryHole/ep-0013/ep-0013.tar,BoundaryHole/ep-0013,BoundaryHole/ep-0013,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/BoundaryHole/ep-0014/ep-0014.tar,BoundaryHole/ep-0014,BoundaryHole/ep-0014,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/BoundaryHole/ep-0018/ep-0018.tar,BoundaryHole/ep-0018,BoundaryHole/ep-0018,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/BoundaryHole/ep-0020/ep-0020.tar,BoundaryHole/ep-0020,BoundaryHole/ep-0020,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/BoundaryHole/ep-0022/ep-0022.tar,BoundaryHole/ep-0022,BoundaryHole/ep-0022,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/BoundaryHole/ep-0024/ep-0024.tar,BoundaryHole/ep-0024,BoundaryHole/ep-0024,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/BoundaryHole/ep-0027/ep-0027.tar,BoundaryHole/ep-0027,BoundaryHole/ep-0027,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/BoundaryHole/ep-0028/ep-0028.tar,BoundaryHole/ep-0028,BoundaryHole/ep-0028,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/CameraClipping/ep-0000/ep-0000.tar,CameraClipping/ep-0000,CameraClipping/ep-0000,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/CameraClipping/ep-0003/ep-0003.tar,CameraClipping/ep-0003,CameraClipping/ep-0003,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/CameraClipping/ep-0005/ep-0005.tar,CameraClipping/ep-0005,CameraClipping/ep-0005,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/CameraClipping/ep-0006/ep-0006.tar,CameraClipping/ep-0006,CameraClipping/ep-0006,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/CameraClipping/ep-0009/ep-0009.tar,CameraClipping/ep-0009,CameraClipping/ep-0009,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/GeometryClipping/ep-0001/ep-0001.tar,GeometryClipping/ep-0001,GeometryClipping/ep-0001,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/GeometryClipping/ep-0002/ep-0002.tar,GeometryClipping/ep-0002,GeometryClipping/ep-0002,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/GeometryClipping/ep-0003/ep-0003.tar,GeometryClipping/ep-0003,GeometryClipping/ep-0003,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/GeometryClipping/ep-0004/ep-0004.tar,GeometryClipping/ep-0004,GeometryClipping/ep-0004,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/GeometryClipping/ep-0005/ep-0005.tar,GeometryClipping/ep-0005,GeometryClipping/ep-0005,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/GeometryCorruption/ep-0002/ep-0002.tar,GeometryCorruption/ep-0002,GeometryCorruption/ep-0002,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/GeometryCorruption/ep-0004/ep-0004.tar,GeometryCorruption/ep-0004,GeometryCorruption/ep-0004,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/GeometryCorruption/ep-0005/ep-0005.tar,GeometryCorruption/ep-0005,GeometryCorruption/ep-0005,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/GeometryCorruption/ep-0006/ep-0006.tar,GeometryCorruption/ep-0006,GeometryCorruption/ep-0006,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/GeometryCorruption/ep-0009/ep-0009.tar,GeometryCorruption/ep-0009,GeometryCorruption/ep-0009,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/ScreenTear/ep-0000/ep-0000.tar,ScreenTear/ep-0000,ScreenTear/ep-0000,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/ScreenTear/ep-0002/ep-0002.tar,ScreenTear/ep-0002,ScreenTear/ep-0002,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/ScreenTear/ep-0004/ep-0004.tar,ScreenTear/ep-0004,ScreenTear/ep-0004,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/ScreenTear/ep-0005/ep-0005.tar,ScreenTear/ep-0005,ScreenTear/ep-0005,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/ScreenTear/ep-0008/ep-0008.tar,ScreenTear/ep-0008,ScreenTear/ep-0008,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/TextureCorruption/ep-0000/ep-0000.tar,TextureCorruption/ep-0000,TextureCorruption/ep-0000,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/TextureCorruption/ep-0001/ep-0001.tar,TextureCorruption/ep-0001,TextureCorruption/ep-0001,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/TextureCorruption/ep-0003/ep-0003.tar,TextureCorruption/ep-0003,TextureCorruption/ep-0003,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/TextureCorruption/ep-0004/ep-0004.tar,TextureCorruption/ep-0004,TextureCorruption/ep-0004,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/TextureCorruption/ep-0005/ep-0005.tar,TextureCorruption/ep-0005,TextureCorruption/ep-0005,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/TextureMissing/ep-0003/ep-0003.tar,TextureMissing/ep-0003,TextureMissing/ep-0003,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/TextureMissing/ep-0004/ep-0004.tar,TextureMissing/ep-0004,TextureMissing/ep-0004,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/TextureMissing/ep-0005/ep-0005.tar,TextureMissing/ep-0005,TextureMissing/ep-0005,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/TextureMissing/ep-0007/ep-0007.tar,TextureMissing/ep-0007,TextureMissing/ep-0007,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/TextureMissing/ep-0008/ep-0008.tar,TextureMissing/ep-0008,TextureMissing/ep-0008,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/ZClipping/ep-0000/ep-0000.tar,ZClipping/ep-0000,ZClipping/ep-0000,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/ZClipping/ep-0004/ep-0004.tar,ZClipping/ep-0004,ZClipping/ep-0004,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/ZClipping/ep-0006/ep-0006.tar,ZClipping/ep-0006,ZClipping/ep-0006,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/ZClipping/ep-0007/ep-0007.tar,ZClipping/ep-0007,ZClipping/ep-0007,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/ZClipping/ep-0008/ep-0008.tar,ZClipping/ep-0008,ZClipping/ep-0008,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/ZFighting/ep-0000/ep-0000.tar,ZFighting/ep-0000,ZFighting/ep-0000,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/ZFighting/ep-0004/ep-0004.tar,ZFighting/ep-0004,ZFighting/ep-0004,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/ZFighting/ep-0005/ep-0005.tar,ZFighting/ep-0005,ZFighting/ep-0005,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/ZFighting/ep-0007/ep-0007.tar,ZFighting/ep-0007,ZFighting/ep-0007,Buggy,validation,evaluation_buggy_positive
benedictwilkinsai/world-of-bugs-test,TEST/ZFighting/ep-0008/ep-0008.tar,ZFighting/ep-0008,ZFighting/ep-0008,Buggy,validation,evaluation_buggy_positive
